"Predictor","OR","CI_lower","CI_upper","p_value"
"(Intercept)",0.001,0,79301305.978,0.5934
"biofilm_score",1.518,0.232,9.843,0.6536
"MLSTST121",1.916,0.019,214.894,0.7772
"MLSTST15",0.361,0.002,9.886,0.5554
"MLSTST152",4.896,0.385,104.948,0.2261
"MLSTST2434",1.069,0.006,38.955,0.9719
"MLSTST30",0.27,0.002,7.236,0.4424
"MLSTST5",1.375,0.08,24.169,0.8162
"MLSTST508",0.325,0.001,17.54,0.5809
"MLSTST669",1.623,0.007,120.46,0.8283
"MLSTST7669",22.455,1.144,3874.801,0.0395
"MLSTST772",227.385,14.607,37021.57,0
"MLSTST789",3.208,0.32,47.672,0.3269
"MLSTST8",7.057,0.743,109.595,0.0907
"MLSTST88",24.349,0.534,6070.499,0.1051
"MLSTST94",0.642,0.004,18.426,0.8037
